UTM_X,UTM_Y,latitude,longitude,elevation
631818.992969963,4212866.705283758,38.053952727661674,-1.49753935915612,368.8897
631830.3126712987,4212850.175678042,38.053802151744726,-1.4974134244516204,368.8897
631841.6323726344,4212833.646072325,38.05365157569989,-1.4972874902575366,362.6723
631852.9520739701,4212817.11646661,38.05350099952716,-1.4971615565738425,359.1595
631864.2717753057,4212800.586860893,38.053350423226526,-1.4970356234005384,357.10132
631875.5914766415,4212784.057255178,38.05319984679801,-1.4969096907376245,356.2034
631886.9111779771,4212767.527649461,38.0530492702416,-1.4967837585851005,354.91748
631898.2308793128,4212750.998043745,38.0528986935573,-1.4966578269429662,353.9367
631909.5505806485,4212734.468438029,38.052748116745136,-1.4965318958111968,351.47
631920.8702819842,4212717.938832313,38.05259753980507,-1.4964059651897916,351.47
631932.1899833198,4212701.409226596,38.05244696273713,-1.4962800350787766,349.79282
631943.5096846556,4212684.879620881,38.05229638554131,-1.4961541054781007,347.13913
631954.8293859912,4212668.350015164,38.05214580821763,-1.4960281763877892,347.13913
631966.1490873268,4212651.820409449,38.05199523076606,-1.4959022478078168,346.31094
631977.4687886626,4212635.290803732,38.05184465318662,-1.4957763197381835,343.50565
631988.7884899982,4212618.761198016,38.051694075479304,-1.4956503921789146,342.66315
632000.108191334,4212602.2315923,38.051543497644154,-1.4955244651299595,342.66315
632011.4278926696,4212585.701986584,38.0513929196811,-1.4953985385913688,340.42667
632022.7475940053,4212569.172380867,38.0512423415902,-1.4952726125630664,340.19672
632034.0672953409,4212552.642775152,38.05109176337145,-1.4951466870451031,340.49023
632045.3869966767,4212536.113169435,38.05094118502483,-1.4950207620374534,339.49945
632056.7066980123,4212519.58356372,38.05079060655036,-1.4948948375401174,340.37778
632068.026399348,4212503.053958003,38.05064002794802,-1.4947689135530695,340.96875
632079.3461006837,4212486.524352287,38.05048944921785,-1.4946429900763352,340.96875
632090.6658020194,4212469.994746571,38.05033887035983,-1.4945170671098893,342.32565
632101.985503355,4212453.465140855,38.05018829137395,-1.4943911446537568,343.51587
632113.3052046908,4212436.9355351385,38.05003771226023,-1.4942652227078872,344.89276
632124.6249060264,4212420.405929423,38.04988713301867,-1.4941393012723057,344.89276
632135.9446073622,4212403.8763237065,38.049736553649275,-1.4940133803470124,346.3215
632147.2643086978,4212387.346717991,38.04958597415203,-1.493887459931982,348.0644
632158.5840100335,4212370.8171122745,38.04943539452696,-1.4937615400272142,350.18546
632169.9037113691,4212354.287506558,38.049284814774055,-1.493635620632709,348.8432
632181.2234127049,4212337.757900842,38.049134234893316,-1.4935097017484669,351.66214
632192.5431140405,4212321.228295126,38.048983654884736,-1.4933837833744619,355.15546
632203.8628153761,4212304.69868941,38.048833074748345,-1.4932578655107196,354.53403
632215.1825167119,4212288.169083694,38.048682494484126,-1.4931319481572147,358.26157
632226.5022180475,4212271.6394779775,38.048531914092074,-1.493006031313947,362.83313
632237.8219193832,4212255.109872262,38.04838133357221,-1.4928801149808915,366.00153
632249.1416207189,4212238.5802665455,38.048230752924525,-1.4927541991580984,366.00153
632260.4613220546,4212222.050660829,38.04808017214902,-1.4926282838454918,370.5771
632271.7810233902,4212205.5210551135,38.04792959124571,-1.4925023690431225,372.262
632283.100724726,4212188.991449397,38.04777901021459,-1.492376454750965,372.262
632294.4204260616,4212172.4618436815,38.047628429055656,-1.4922505409690194,374.72867
632305.7401273974,4212155.932237965,38.04747784776891,-1.4921246276972604,377.95956
632317.059828733,4212139.402632249,38.04732726635436,-1.491998714935713,380.84262
632328.3795300687,4212122.873026533,38.047176684812015,-1.4918728026843522,380.7593
632339.6992314043,4212106.343420817,38.047026103141846,-1.4917468909431777,384.3135
632351.0189327401,4212089.8138151,38.04687552134391,-1.4916209797121898,388.38916
632362.3386340757,4212073.284209385,38.04672493941816,-1.4914950689913626,393.27893
632373.6583354115,4212056.754603668,38.04657435736461,-1.4913691587807218,393.27893
632384.9780367471,4212040.224997953,38.046423775183285,-1.4912432490802423,396.47516
632396.2977380828,4212023.695392236,38.04627319287415,-1.4911173398899236,399.21902
632407.6174394184,4212007.16578652,38.04612261043725,-1.4909914312097912,399.21902
632418.9371407542,4211990.636180804,38.04597202787255,-1.490865523039769,399.35623
632430.2568420898,4211974.106575088,38.045821445180074,-1.4907396153799333,394.79526
632441.5765434256,4211957.576969371,38.04567086235981,-1.4906137082302076,391.04593
632452.8962447612,4211941.047363656,38.04552027941178,-1.4904878015906426,391.04593
632464.2159460968,4211924.517757939,38.04536969633595,-1.4903618954612134,381.26825
632475.5356474326,4211907.988152224,38.04521911313237,-1.4902359898418944,375.62537
632486.8553487682,4211891.458546507,38.04506852980101,-1.4901100847327107,370.32202
632498.1750501039,4211874.928940791,38.04491794634186,-1.4899841801336373,364.7965
632509.4947514395,4211858.399335075,38.04476736275497,-1.4898582760446737,360.23
632520.8144527753,4211841.869729359,38.0446167790403,-1.4897323724658205,353.1065
632532.1341541109,4211825.340123642,38.04446619519786,-1.4896064693970772,353.1065
632543.4538554467,4211808.810517927,38.044315611227674,-1.4894805668384439,349.8457
632554.7735567823,4211792.28091221,38.044165027129715,-1.4893546647898954,343.96857
632566.093258118,4211775.751306495,38.044014442904015,-1.4892287632514314,340.71405
632577.4129594536,4211759.221700778,38.04386385855055,-1.4891028622230267,340.71405
632588.7326607894,4211742.692095062,38.043713274069326,-1.488976961704732,334.3271
632600.052362125,4211726.162489346,38.043562689460366,-1.4888510616964965,330.77158
632611.3720634608,4211709.63288363,38.04341210472365,-1.4887251621983457,327.61676
