X,Y,Z,SAMPLE_1,X,Y
632258.2456,4212676.4746,0,329.687286376953,"632258","4212676"
632268.2456,4212676.4746,0,329.687286376953,"632268","4212676"
632278.2456,4212676.4746,0,329.989379882812,"632278","4212676"
632288.2456,4212676.4746,0,329.989379882812,"632288","4212676"
632298.2456,4212676.4746,0,330.526306152344,"632298","4212676"
632308.2456,4212676.4746,0,331.812408447266,"632308","4212676"
632318.2456,4212676.4746,0,331.812408447266,"632318","4212676"
632328.2456,4212676.4746,0,332.286987304688,"632328","4212676"
632338.2456,4212676.4746,0,332.286987304688,"632338","4212676"
632348.2456,4212676.4746,0,332.378784179688,"632348","4212676"
632358.2456,4212676.4746,0,332.378784179688,"632358","4212676"
632368.2456,4212676.4746,0,332.378784179688,"632368","4212676"
632378.2456,4212676.4746,0,332.839385986328,"632378","4212676"
632388.2456,4212676.4746,0,332.839385986328,"632388","4212676"
632398.2456,4212676.4746,0,332.931732177734,"632398","4212676"
632408.2456,4212676.4746,0,332.931732177734,"632408","4212676"
632418.2456,4212676.4746,0,332.931732177734,"632418","4212676"
632428.2456,4212676.4746,0,333.010589599609,"632428","4212676"
632438.2456,4212676.4746,0,333.010589599609,"632438","4212676"
632448.2456,4212676.4746,0,333.853729248047,"632448","4212676"
632458.2456,4212676.4746,0,336.465362548828,"632458","4212676"
632468.2456,4212676.4746,0,336.465362548828,"632468","4212676"
632478.2456,4212676.4746,0,336.976593017578,"632478","4212676"
632488.2456,4212676.4746,0,336.976593017578,"632488","4212676"
632498.2456,4212676.4746,0,337.249359130859,"632498","4212676"
632508.2456,4212676.4746,0,337.249359130859,"632508","4212676"
632518.2456,4212676.4746,0,337.249359130859,"632518","4212676"
632528.2456,4212676.4746,0,336.846771240234,"632528","4212676"
632538.2456,4212676.4746,0,336.846771240234,"632538","4212676"
632548.2456,4212676.4746,0,335.653259277344,"632548","4212676"
632558.2456,4212676.4746,0,335.653259277344,"632558","4212676"
632568.2456,4212676.4746,0,335.653259277344,"632568","4212676"
632578.2456,4212676.4746,0,334.467254638672,"632578","4212676"
632588.2456,4212676.4746,0,334.467254638672,"632588","4212676"
632598.2456,4212676.4746,0,333.541534423828,"632598","4212676"
632608.2456,4212676.4746,0,336.21435546875,"632608","4212676"
632618.2456,4212676.4746,0,336.21435546875,"632618","4212676"
632628.2456,4212676.4746,0,335.651977539062,"632628","4212676"
632638.2456,4212676.4746,0,335.651977539062,"632638","4212676"
632648.2456,4212676.4746,0,335.945068359375,"632648","4212676"
632658.2456,4212676.4746,0,335.945068359375,"632658","4212676"
632668.2456,4212676.4746,0,335.945068359375,"632668","4212676"
632678.2456,4212676.4746,0,336.177215576172,"632678","4212676"
632688.2456,4212676.4746,0,336.177215576172,"632688","4212676"
632698.2456,4212676.4746,0,337.071228027344,"632698","4212676"
632708.2456,4212676.4746,0,337.071228027344,"632708","4212676"
632718.2456,4212676.4746,0,337.071228027344,"632718","4212676"
632728.2456,4212676.4746,0,338.027709960938,"632728","4212676"
632738.2456,4212676.4746,0,338.027709960938,"632738","4212676"
632748.2456,4212676.4746,0,339.180267333984,"632748","4212676"
632758.2456,4212676.4746,0,341.647918701172,"632758","4212676"
632768.2456,4212676.4746,0,341.647918701172,"632768","4212676"
632778.2456,4212676.4746,0,343.239318847656,"632778","4212676"
632788.2456,4212676.4746,0,343.239318847656,"632788","4212676"
632798.2456,4212676.4746,0,344.660705566406,"632798","4212676"
632808.2456,4212676.4746,0,344.660705566406,"632808","4212676"
632818.2456,4212676.4746,0,344.660705566406,"632818","4212676"
632828.2456,4212676.4746,0,345.228729248047,"632828","4212676"
632838.2456,4212676.4746,0,345.228729248047,"632838","4212676"
632848.2456,4212676.4746,0,345.554351806641,"632848","4212676"
