X,Y,Z,SAMPLE_1,X,Y
631839.9031,4213401.2881,0,421.753875732422,"631840","4213401"
631849.9031,4213401.2881,0,421.753875732422,"631850","4213401"
631859.9031,4213401.2881,0,420.321166992188,"631860","4213401"
631869.9031,4213401.2881,0,420.321166992188,"631870","4213401"
631879.9031,4213401.2881,0,420.321166992188,"631880","4213401"
631889.9031,4213401.2881,0,420.503295898438,"631890","4213401"
631899.9031,4213401.2881,0,420.503295898438,"631900","4213401"
631909.9031,4213401.2881,0,421.373718261719,"631910","4213401"
631919.9031,4213401.2881,0,421.373718261719,"631920","4213401"
631929.9031,4213401.2881,0,421.373718261719,"631930","4213401"
631939.9031,4213401.2881,0,421.697113037109,"631940","4213401"
631949.9031,4213401.2881,0,421.697113037109,"631950","4213401"
631959.9031,4213401.2881,0,424.457458496094,"631960","4213401"
